1	-5.3
2	-4.3
3	-4.1
4	-5.7
5	-6.9
6	-5.4
7	-4.8
8	-5.1
9	-7.7
10	-5.4
11	-3.6
12	-2
13	-4.3
14	-7.6
15	-8.1
16	-5.2
17	-4.7
18	-3.8
19	-5.2
20	-4.8
21	-4.3
22	-5.3
23	-4.3
24	-3.9
25	-5.1
26	-3.7
27	-3.7
28	-2.2
29	-3.9
30	-2.1
31	-3.7
32	-5.5
33	-5.3
34	-5.2
35	-4.8
36	-6.1
37	-4.7
38	-3.7
39	-2.6
40	-2.3
41	-2.1
42	-4.2
43	-4
44	-3.1
45	-1.7
46	-1.8
47	-4
48	-3
49	-3
50	-4.1
51	-4.1
52	-2.8
53	-3.5
54	-1.5
55	-2.8
56	-2.2
57	-2
58	-3.5
59	-2
60	-3.1
61	-3.1
62	-2
63	-2.4
64	-1.8
65	-2.3
66	-1.5
67	-2.3
68	-2.5
69	-3.1
70	-2.6
71	-4.3
72	-2.7
73	-2.3
74	-2.4
75	-2.7
76	-2
77	-2
